"","state.abb","pop_census","count_census","pop_acfr","count_acfr","pop_pct_accounted","count_pct_accounted"
"1","AK",733378,30,651300,16,88.81,53.33
"2","AL",5024356,67,3502644,29,69.71,43.28
"3","AR",3011555,75,968664,25,32.16,33.33
"4","AZ",7151507,15,7085483,14,99.08,93.33
"5","CA",39538245,58,39430096,55,99.73,94.83
"6","CO",5773733,64,5710894,58,98.91,90.62
"7","CT",3605942,9,0,0,0,0
"8","DC",689546,1,689546,1,100,100
"9","DE",989957,3,989957,3,100,100
"10","FL",21538226,67,21509963,66,99.87,98.51
"11","GA",10711937,159,10303541,131,96.19,82.39
"12","HI",1455273,5,1455193,4,99.99,80
"13","IA",3190372,99,3145431,96,98.59,96.97
"14","ID",1839092,44,1722682,32,93.67,72.73
"15","IL",12812545,102,12565842,88,98.07,86.27
"16","IN",6785668,92,5209976,65,76.78,70.65
"17","KS",2937847,105,2876077,99,97.9,94.29
"18","KY",4505893,120,3229541,68,71.67,56.67
"19","LA",4657749,64,3513713,46,75.44,71.88
"20","MA",7029949,14,1554808,4,22.12,28.57
"21","MD",6177213,24,6030908,22,97.63,91.67
"22","ME",1362341,16,1018850,10,74.79,62.5
"23","MI",10077325,83,10052230,82,99.75,98.8
"24","MN",5706504,87,5235088,83,91.74,95.4
"25","MO",6154920,115,4919295,41,79.92,35.65
"26","MS",2961288,82,1548722,35,52.3,42.68
"27","MT",1084197,56,947478,45,87.39,80.36
"28","NC",10439414,100,10408647,98,99.71,98
"29","ND",779091,53,573432,21,73.6,39.62
"30","NE",1961489,93,1922628,91,98.02,97.85
"31","NH",1377518,10,1313809,9,95.38,90
"32","NJ",9289031,21,9289031,21,100,100
"33","NM",2117527,33,2068844,28,97.7,84.85
"34","NV",3104624,17,3045980,16,98.11,94.12
"35","NY",20201230,62,11397036,57,56.42,91.94
"36","OH",11799374,88,11471319,82,97.22,93.18
"37","OK",3959346,77,2901726,38,73.29,49.35
"38","OR",4237291,36,4197178,34,99.05,94.44
"39","PA",13002689,67,12334480,59,94.86,88.06
"40","RI",1097371,5,0,0,0,0
"41","SC",5118429,46,5091533,44,99.47,95.65
"42","SD",886677,66,603101,28,68.02,42.42
"43","TN",6910786,95,6910786,95,100,100
"44","TX",29145428,254,28292640,177,97.07,69.69
"45","UT",3271614,29,3269104,28,99.92,96.55
"46","VA",8631384,133,6988124,98,80.96,73.68
"47","VT",643085,14,0,0,0,0
"48","WA",7705247,39,7370556,35,95.66,89.74
"49","WI",5893725,72,5841775,71,99.12,98.61
"50","WV",1793755,55,1188498,23,66.26,41.82
"51","WY",576837,23,563090,22,97.62,95.65
