"","state.abb","pop_census","count_census","pop_acfr","count_acfr","pop_pct_accounted","count_pct_accounted"
"1","AK",498182,149,144973,48,29.1,32.21
"2","AL",3086857,462,2615823,129,84.74,27.92
"3","AR",2007536,500,1283332,71,63.93,14.2
"4","AZ",5729817,91,5667078,65,98.91,71.43
"5","CA",33006522,482,32529994,446,98.56,92.53
"6","CO",4300329,272,3955368,80,91.98,29.41
"7","CT",1515611,33,3463797,148,228.54,448.48
"8","DC",689546,1,689546,1,100,100
"9","DE",279990,57,210364,14,75.13,24.56
"10","FL",10835464,411,10754030,394,99.25,95.86
"11","GA",5433317,546,4202818,202,77.35,37
"12","HI",1016506,1,1016506,1,100,100
"13","IA",2564525,941,2220550,213,86.59,22.64
"14","ID",1302154,199,1065710,44,81.84,22.11
"15","IL",11171431,1296,16556174,1117,148.2,86.19
"16","IN",6353531,580,3107139,69,48.9,11.9
"17","KS",2446991,629,2043353,114,83.5,18.12
"18","KY",4083753,504,2070220,65,50.69,12.9
"19","LA",2161439,304,1862913,185,86.19,60.86
"20","MA",3813492,58,6477095,239,169.85,412.07
"21","MD",1555157,157,1260902,32,81.08,20.38
"22","ME",385090,23,1127592,347,292.81,1508.7
"23","MI",5107592,533,9319830,1227,182.47,230.21
"24","MN",4755450,853,4243110,318,89.23,37.28
"25","MO",4097713,939,3313162,158,80.85,16.83
"26","MS",1505408,298,797829,40,53,13.42
"27","MT",659107,131,496268,35,75.29,26.72
"28","NC",6025176,551,5365100,178,89.04,32.3
"29","ND",603849,356,461951,32,76.5,8.99
"30","NE",1544976,529,1501541,264,97.19,49.91
"31","NH",435346,13,669014,28,153.67,215.38
"32","NJ",4446900,323,7182820,292,161.52,90.4
"33","NM",1427899,105,1323547,39,92.69,37.14
"34","NV",1767097,19,1762247,18,99.73,94.74
"35","NY",13022573,596,16592657,184,127.41,30.87
"36","OH",7667622,925,6736009,375,87.85,40.54
"37","OK",3061117,590,2749749,188,89.83,31.86
"38","OR",2992716,240,2884482,185,96.38,77.08
"39","PA",5675576,1007,4549067,120,80.15,11.92
"40","RI",570416,8,1000557,36,175.41,450
"41","SC",1887951,271,1536844,63,81.4,23.25
"42","SD",635476,311,484484,32,76.24,10.29
"43","TN",5619001,353,4164905,318,74.12,90.08
"44","TX",21118193,1220,19106794,341,90.48,27.95
"45","UT",3060629,253,2928359,168,95.68,66.4
"46","VA",3117989,228,2965765,92,95.12,40.35
"47","VT",154690,40,262788,34,169.88,85
"48","WA",5043194,281,4347031,102,86.2,36.3
"49","WI",4299497,605,2494564,156,58.02,25.79
"50","WV",617785,232,368759,34,59.69,14.66
"51","WY",398561,99,289867,17,72.73,17.17
