"","state.abb","pop_acfr","count_acfr","pop_census","count_census","pop_pct_accounted","count_pct_accounted"
"1","AK",128577,45,130723,54,98.36,83.33
"2","AL",730667,130,746732,145,97.85,89.66
"3","AR",461488,231,467512,277,98.71,83.39
"4","AZ",889583,160,899856,266,98.86,60.15
"5","CA",5251865,960,5288971,1118,99.3,85.87
"6","CO",835345,123,851632,270,98.09,45.56
"7","CT",32039,19,502616,188,6.37,10.11
"8","DC",0,0,49763,2,0,0
"9","DE",123243,19,123243,22,100,86.36
"10","FL",2841354,70,2857677,73,99.43,95.89
"11","GA",1681483,171,1709695,201,98.35,85.07
"12","HI",170209,1,170209,1,100,100
"13","IA",488710,321,511211,336,95.6,95.54
"14","ID",279338,80,289469,121,96.5,66.12
"15","IL",1670286,582,1847264,1022,90.42,56.95
"16","IN",538264,130,984991,324,54.65,40.12
"17","KS",441717,176,487978,338,90.52,52.07
"18","KY",656299,168,660029,176,99.43,95.45
"19","LA",637460,69,643795,80,99.02,86.25
"20","MA",215836,77,875232,348,24.66,22.13
"21","MD",889557,24,889960,25,99.95,96
"22","ME",83736,69,171127,267,48.93,25.84
"23","MI",1280528,589,1283555,599,99.76,98.33
"24","MN",775969,298,802129,396,96.74,75.25
"25","MO",822786,347,866942,528,94.91,65.72
"26","MS",331374,89,437040,144,75.82,61.81
"27","MT",101657,85,150098,483,67.73,17.6
"28","NC",1400671,115,1402261,147,99.89,78.23
"29","ND",96075,83,118513,223,81.07,37.22
"30","NE",326595,247,329234,278,99.2,88.85
"31","NH",93672,52,162917,182,57.5,28.57
"32","NJ",1235789,433,1323573,613,93.37,70.64
"33","NM",285725,63,295290,95,96.76,66.32
"34","NV",423916,16,424522,19,99.86,84.21
"35","NY",2336354,682,2357145,768,99.12,88.8
"36","OH",1492634,643,1565021,722,95.37,89.06
"37","OK",637875,513,650585,564,98.05,90.96
"38","OR",540350,188,544364,198,99.26,94.95
"39","PA",1489301,528,1531526,610,97.24,86.56
"40","RI",8899,4,126165,45,7.05,8.89
"41","SC",735089,70,747207,93,98.38,75.27
"42","SD",120945,86,141377,167,85.55,51.5
"43","TN",484266,47,1002934,147,48.28,31.97
"44","TX",5088079,1014,5115510,1046,99.46,96.94
"45","UT",598331,38,613044,47,97.6,80.85
"46","VA",809122,22,1260351,212,64.2,10.38
"47","VT",56133,53,83654,186,67.1,28.49
"48","WA",1069390,222,1085449,324,98.52,68.52
"49","WI",783870,343,811897,440,96.55,77.95
"50","WV",241513,54,249982,60,96.61,90
"51","WY",88323,40,92467,59,95.52,67.8
